category	exception
Libertad de expresión	Cita
Libertad de expresión	Noticias de actualidad
Libertad de expresión	Fines de información
Libertad de expresión	Documentos públicos
Libertad de expresión	Parodia y afines
Fines educativos	Comunicación
Fines educativos	Reproducciones
Fines educativos	Selección de lecturas
Fines educativos	Enseñanza en Línea
Fines educativos	Elusión de DRM
Bibliotecas y archivos	Préstamo público
Bibliotecas y archivos	Intercambios entre bibliotecas
Bibliotecas y archivos	Servicios de reproducción
Bibliotecas y archivos	Preservación
Bibliotecas y archivos	Acceso a obras retiradas
Bibliotecas y archivos	Obras huérfanas
Bibliotecas y archivos	Usos transfronterizos
Bibliotecas y archivos	Importación paralela
Bibliotecas y archivos	Servicios de Traducción
Bibliotecas y archivos	Obras agotadas o no disponibles
Bibliotecas y archivos	Elusión de DRM
Poblaciones desatendidas	Producción de ejemplares accesibles
Poblaciones desatendidas	Distribución de ejemplares accesibles
Poblaciones desatendidas	Intercambio transfronterizo de ejemplares accesibles
Poblaciones desatendidas	Traducción sin compensación
Poblaciones desatendidas	Traducción: licencias obligatorias
Poblaciones desatendidas	Elusión de DRM
Usos privados / sociales	Copia privada
Usos privados / sociales	Comunicación en el hogar
Usos privados / sociales	Inclusión incidental
Usos privados / sociales	Comunicación: pequeños negocios
Usos privados / sociales	Comunicación: eventos culturales
Usos privados / sociales	Comunicación: otras sin fines de lucro
Usos privados / sociales	Modificaciones arquitectónicas
Usos privados / sociales	Libertad de panorama
Usos privados / sociales	Elusión de DRM
Administración pública	Procedimientos administrativos
Administración pública	Procedimientos judiciales
Administración pública	Procedimientos parlamentarios
Nuevas tecnologías	Enlaces y frames
Nuevas tecnologías	Software: Copia de respaldo
Nuevas tecnologías	Software: Adaptación
Nuevas tecnologías	Ingeniería inversa
Nuevas tecnologías	Text and data mining
Nuevas tecnologías	Usos no consuntivos (procesos técnicos)
Nuevas tecnologías	Usos transformativos
Nuevas tecnologías	Uso justo
Nuevas tecnologías	Elusión de DRM